trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_rmse,val_mae,val_corr,val_r2
32,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.2,128,2,0.0003,0.0001,16,12,1.0,60,0.5222735393827207,0.7226849794387817,0.5675050020217896,0.6907725213175017,0.41924548149108887
32,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.2,128,2,0.0003,0.0001,16,12,1.0,60,0.44519291971331443,0.6672277450561523,0.5420445203781128,0.5387353123876273,0.27149587869644165
33,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.4,512,1,0.0005,0.0001,8,12,1.0,60,0.32988333924908503,0.5743552446365356,0.470913290977478,0.6841484684517463,0.4539719820022583
33,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.4,512,1,0.0005,0.0001,8,12,1.0,60,0.4272733347438206,0.6536613702774048,0.5160413980484009,0.7286939762791165,0.5248833298683167
33,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.4,512,1,0.0005,0.0001,8,12,1.0,60,0.5550597070533538,0.7450224161148071,0.6104623675346375,0.4423148567657536,0.09171432256698608
34,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",3,0.0,512,2,0.0005,0.0,8,25,1.0,60,0.4333752293453038,0.6583126187324524,0.5011377334594727,0.566667159414174,0.28267139196395874
34,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",3,0.0,512,2,0.0005,0.0,8,25,1.0,60,0.5568319141307724,0.7462107539176941,0.5190010070800781,0.6833805177424487,0.38081902265548706
34,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",3,0.0,512,2,0.0005,0.0,8,25,1.0,60,0.47038878068745693,0.6858288049697876,0.5293790698051453,0.4864281930141708,0.2303110957145691
35,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.0,512,1,0.0005,0.0,16,12,0.5,60,0.48004251161468364,0.6928510665893555,0.5442067980766296,0.506542190817402,0.20542746782302856
35,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.0,512,1,0.0005,0.0,16,12,0.5,60,0.6679369163847415,0.8172740936279297,0.5780730843544006,0.6068461617497249,0.25727152824401855
35,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.0,512,1,0.0005,0.0,16,12,0.5,60,0.5040388452672513,0.7099568843841553,0.578860878944397,0.4734509261201367,0.1752016544342041
36,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",5,0.2,128,2,0.0003,1e-05,32,12,0.5,60,0.41498899459838867,0.6441963911056519,0.5092607736587524,0.5949307843489898,0.3131049871444702
36,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",5,0.2,128,2,0.0003,1e-05,32,12,0.5,60,0.5731023550033569,0.7570352554321289,0.5660517811775208,0.7038849248333822,0.3627251386642456
36,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",5,0.2,128,2,0.0003,1e-05,32,12,0.5,60,0.46557292342185974,0.682328999042511,0.5494793653488159,0.49687062980549684,0.23814648389816284
37,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.2,128,2,0.0005,0.0,16,12,0.5,60,0.4554620864235352,0.6748793125152588,0.5467681884765625,0.5432817641668093,0.24611347913742065
37,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.2,128,2,0.0005,0.0,16,12,0.5,60,0.46139535196473663,0.6792609095573425,0.5179222226142883,0.7581647530706412,0.4869403839111328
37,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.2,128,2,0.0005,0.0,16,12,0.5,60,0.46246999404697775,0.6800515055656433,0.5364842414855957,0.5034570757717548,0.2432239055633545
